name,lon,lat,category,road,suburb,city_district,town,city,state,postcode,country,operator,ref,public_transport,station,wheelchair,network
Semporna Bus Terminal,118.6092049,4.4807615,bus_station,Jalan Hospital,,,Semporna,,Sabah,"91300",Malaysia,,,station,,,
,101.6054782,3.1131442,taxi,Jalan SS 25/2,SS 25,,,Petaling Jaya,Selangor,"47301",Malaysia,,,,,,
Mini Bus Station,118.1155018,5.8378932,bus_station,Lebuh Dua,Bandar Sandakan,,,Sandakan,Sabah,"90008",Malaysia,,,station,,,
Malacca International Ferry Terminal,102.2449633,2.1914619,ferry_terminal,Jalan Kota Laksamana 1/1,,,,Bandaraya Melaka,Melaka,"75200",Malaysia,,,station,,,
,118.6320991,4.2489003,ferry_terminal,Sipadan Water Village Jetty,,,,,Sabah,,Malaysia,,,station,,,
Terminal Pontian,103.3882441,1.479333,bus_station,Jalan Delima,Pontian Kecil,,,Pontian,Johor,,Malaysia,,,station,,,
Tasek,101.1202656,4.6527989,station,Lebuh Perusahaan Kelebang 1,Tasek,,,Majlis Bandaraya Ipoh,Perak,"30620",Malaysia,KTM,,station,train,yes,
Taxi Stand,110.3424206,1.5602855,taxi,Lebuh Jawa,,,,Kuching,Sarawak,"93000",Malaysia,,,,,,
A,101.644077,3.0506498,subway_entrance,Lebuhraya Bukit Jalil,Bandar Kinrara,,,Majlis Bandaraya Subang Jaya,Selangor,"47180",Malaysia,,,,,,
,101.7347581,3.102111,taxi,Jalan Lanchang,Cheras,,,Kuala Lumpur,Kuala Lumpur,"56100",Malaysia,,,,,,
Pulau Sibu Tengah,104.0971273,2.182697,ferry_terminal,,,,,,Johor,,Malaysia,,,station,,,
Terminal Bas Pasir Gudang,103.9011473,1.4660048,bus_station,Jalan Mawar Biru,,,,Pasir Gudang,Johor,"81700",Malaysia,,,station,,,
Kuching,110.3979457,1.5550205,ferry_terminal,Kuching Isthmus Underpass,,,,,Sarawak,"93450",Malaysia,,,station,,,
Feri Kaba Krian,111.1909951,1.7349388,ferry_terminal,Q557,,,,,Sarawak,,Malaysia,,,station,,,
,111.4268671,2.366982,ferry_terminal,,Tanjung Manis,,,,Sarawak,,Malaysia,,,station,,,
,111.4169368,2.371439,ferry_terminal,,,,Daro,,Sarawak,,Malaysia,,,station,,,
,111.4019506,2.5733711,ferry_terminal,,,,Daro,,Sarawak,,Malaysia,,,station,,,
,111.7912701,2.2439226,ferry_terminal,,,,,Sibu,Sarawak,"96000",Malaysia,,,station,,,
,111.7866732,2.2421713,ferry_terminal,Jalan Sungai Maaw,,,,Sibu,Sarawak,,Malaysia,,,station,,,
